PDB,SDF,REF_SDF
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_1HWI_115.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_1MZC_BNE.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_1OWE_675.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_1R1H_BIR.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_1S3V_TQD.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_1U1C_BAU.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_1V4S_MRK.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_1YQY_915.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/query_2BSM_BSM.sdf,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_1G9V_RQ3.sdf,1HWI_115/1HWI_115_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_1MZC_BNE.sdf,1HWI_115/1HWI_115_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_1OWE_675.sdf,1HWI_115/1HWI_115_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_1R1H_BIR.sdf,1HWI_115/1HWI_115_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_1S3V_TQD.sdf,1HWI_115/1HWI_115_ligand.sdf
