PDB,SDF
1G9V_RQ3/1G9V_RQ3_protein.pdb,1G9V_RQ3/1G9V_RQ3_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/1HWI_115_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/1MZC_BNE_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/1OWE_675_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/1R1H_BIR_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/1S3V_TQD_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/1U1C_BAU_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/1V4S_MRK_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/1YQY_915_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/2BSM_BSM_ligand.sdf
